cloudDeployments;Replica-f100-n200;0
availabilityCloudReads;Replica-f100-n200;91.55
availabilitySensorWrites;Replica-f100-n200;20.8
cloudDeployments;FstrRep-f100-n200;0
availabilityCloudReads;FstrRep-f100-n200;91.15
availabilitySensorWrites;FstrRep-f100-n200;22.4
cloudDeployments;Single-f100-n200;0
availabilityCloudReads;Single-f100-n200;64.2
availabilitySensorWrites;Single-f100-n200;18.55
cloudDeployments;Cloud-f100-n200;100
availabilityCloudReads;Cloud-f100-n200;100.0
availabilitySensorWrites;Cloud-f100-n200;19.9
cloudDeployments;Replica-f110-n200;0
availabilityCloudReads;Replica-f110-n200;100.65
availabilitySensorWrites;Replica-f110-n200;23.35
cloudDeployments;FstrRep-f110-n200;0
availabilityCloudReads;FstrRep-f110-n200;100.15
availabilitySensorWrites;FstrRep-f110-n200;24.7
cloudDeployments;Single-f110-n200;0
availabilityCloudReads;Single-f110-n200;71.75
availabilitySensorWrites;Single-f110-n200;20.4
cloudDeployments;Cloud-f110-n200;110
availabilityCloudReads;Cloud-f110-n200;110.0
availabilitySensorWrites;Cloud-f110-n200;22.0
cloudDeployments;Replica-f120-n200;0
availabilityCloudReads;Replica-f120-n200;108.95
availabilitySensorWrites;Replica-f120-n200;25.65
cloudDeployments;FstrRep-f120-n200;0
availabilityCloudReads;FstrRep-f120-n200;109.05
availabilitySensorWrites;FstrRep-f120-n200;27.05
cloudDeployments;Single-f120-n200;0
availabilityCloudReads;Single-f120-n200;77.65
availabilitySensorWrites;Single-f120-n200;22.8
cloudDeployments;Cloud-f120-n200;120
availabilityCloudReads;Cloud-f120-n200;120.0
availabilitySensorWrites;Cloud-f120-n200;24.3
cloudDeployments;Replica-f130-n200;0
availabilityCloudReads;Replica-f130-n200;118.65
availabilitySensorWrites;Replica-f130-n200;28.55
cloudDeployments;FstrRep-f130-n200;0
availabilityCloudReads;FstrRep-f130-n200;118.25
availabilitySensorWrites;FstrRep-f130-n200;30.15
cloudDeployments;Single-f130-n200;0
availabilityCloudReads;Single-f130-n200;83.1
availabilitySensorWrites;Single-f130-n200;24.8
cloudDeployments;Cloud-f130-n200;130
availabilityCloudReads;Cloud-f130-n200;130.0
availabilitySensorWrites;Cloud-f130-n200;26.8
cloudDeployments;Replica-f140-n200;0
availabilityCloudReads;Replica-f140-n200;128.5
availabilitySensorWrites;Replica-f140-n200;31.3
cloudDeployments;FstrRep-f140-n200;0
availabilityCloudReads;FstrRep-f140-n200;126.85
availabilitySensorWrites;FstrRep-f140-n200;33.1
cloudDeployments;Single-f140-n200;0
availabilityCloudReads;Single-f140-n200;88.35
availabilitySensorWrites;Single-f140-n200;27.05
cloudDeployments;Cloud-f140-n200;140
availabilityCloudReads;Cloud-f140-n200;140.0
availabilitySensorWrites;Cloud-f140-n200;29.4
cloudDeployments;Replica-f150-n200;0
availabilityCloudReads;Replica-f150-n200;137.15
availabilitySensorWrites;Replica-f150-n200;32.7
cloudDeployments;FstrRep-f150-n200;0
availabilityCloudReads;FstrRep-f150-n200;137.0
availabilitySensorWrites;FstrRep-f150-n200;36.1
cloudDeployments;Single-f150-n200;0
availabilityCloudReads;Single-f150-n200;93.45
availabilitySensorWrites;Single-f150-n200;28.6
cloudDeployments;Cloud-f150-n200;150
availabilityCloudReads;Cloud-f150-n200;150.0
