"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","101",1
"2","105",2
"3","109",3
"4","111",3
"6","107",4
"5","103",5
"7","113",5
"8","177",5
"9","161",6
"10","187",6
"11","143",7
"12","151",7
"13","175",7
"14","139",8
"15","193",8
"16","119",9
"17","123",9
"18","157",9
"19","185",9
"20","117",10
"21","147",11
"22","169",11
"23","141",12
"24","149",12
"25","121",13
"26","153",13
"27","159",13
"28","163",13
"29","189",13
"30","127",14
"31","183",14
"32","165",15
"33","145",16
"34","155",17
"35","129",18
"36","137",18
"37","181",19
"39","135",20
"40","173",21
"41","167",22
"42","131",23
"43","133",24
"38","125",24
"45","115",24
"44","191",24
"47","194",24
"46","171",24
"48","178",24
"49","179",25
"50","195",26
"51","168",27
"78","7",27
"61","1",28
"53","104",28
"72","47",28
"69","3",29
"73","5",30
"52","102",30
"76","63",30
"77","69",30
"79","77",31
"74","57",32
"82","89",33
"70","39",34
"75","59",34
"63","11",35
"71","41",35
"84","99",35
"112","81",35
"117","95",36
"60","174",36
"107","61",36
"80","79",36
"83","91",36
"106","53",36
"108","67",37
"81","87",37
"54","108",37
"56","112",37
"103","45",37
"109","71",37
"115","9",37
"116","93",37
"110","73",38
"64","126",38
"65","136",38
"66","152",38
"89","15",38
"95","21",38
"99","33",38
"104","49",38
"86","13",39
"91","17",40
"96","25",40
"97","27",40
"98","31",40
"100","35",40
"101","37",40
"105","51",40
"111","75",40
"113","83",40
"118","97",40
"55","110",40
"57","138",40
"58","158",40
"59","164",40
"87","130",40
"94","190",40
"85","122",41
"93","188",41
"102","43",41
"114","85",41
"119","29",41
"121","23",42
"62","106",42
"67","172",42
"68","192",42
"122","114",42
"88","134",42
"90","162",42
"92","180",42
"120","146",43
"123","148",44
"128","19",44
"124","124",44
"125","176",45
"132","197",45
"129","55",45
"126","140",45
"127","166",45
"130","132",46
"131","144",47
"134","118",48
"133","184",48
"136","128",48
"135","142",48
"137","65",48
"138","150",49
"139","186",50
"140","198",51
"141","116",52
"142","156",52
"143","170",53
"144","182",54
"145","160",55
"148","86",55
"146","196",55
"147","120",56
"149","199",56
"159","200",57
"154","154",58
"155","16",59
"169","4",60
"157","2",61
"151","100",62
"198","94",62
"177","54",63
"180","6",64
"163","28",65
"164","30",65
"165","32",66
"197","92",66
"172","44",67
"167","36",68
"152","12",69
"184","66",69
"156","18",70
"183","64",70
"200","98",71
"187","72",72
"190","78",72
"191","8",72
"166","34",73
"168","38",73
"192","80",73
"195","88",73
"194","84",74
"160","22",75
"173","46",75
"181","60",75
"188","74",75
"176","52",76
"161","24",77
"171","42",77
"182","62",77
"199","96",77
"170","40",78
"174","48",78
"178","56",78
"179","58",78
"189","76",78
"196","90",78
"153","14",79
"162","26",79
"175","50",79
"185","68",79
"186","70",79
"150","10",80
"158","20",81
"193","82",81
