"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","58",1
"2","7",2
"3","94",3
"4","63",4
"5","30",5
"6","43",5
"7","57",5
"8","36",6
"9","164",7
"10","32",8
"11","69",8
"12","84",9
"13","108",10
"14","105",11
"18","55",11
"15","78",11
"16","72",12
"20","93",12
"17","193",12
"22","28",12
"19","60",12
"21","25",13
"23","73",13
"26","117",14
"27","124",15
"32","189",15
"30","181",15
"31","140",16
"33","194",16
"35","127",16
"40","139",16
"24","91",16
"25","95",16
"38","125",16
"39","137",16
"41","175",17
"42","169",18
"28","85",18
"29","38",19
"46","121",19
"34","89",19
"36","187",20
"50","131",20
"37","33",20
"53","176",20
"52","134",20
"54","130",21
"48","22",21
"43","27",21
"51","18",21
"56","182",21
"44","71",21
"45","102",22
"55","119",22
"59","184",22
"47","48",22
"49","51",23
"60","100",23
"57","44",23
"64","133",23
"63","2",23
"58","45",23
"65","41",23
"61","103",23
"69","198",23
"62","53",23
"72","80",23
"66","88",23
"67","14",24
"75","79",24
"68","112",24
"78","153",24
"73","110",24
"70","161",24
"71","62",24
"81","132",24
"74","42",24
"76","37",25
"77","10",26
"79","31",26
"85","163",26
"87","141",27
"86","135",28
"90","99",28
"84","158",28
"80","75",28
"82","70",29
"83","50",30
"92","126",30
"88","34",30
"93","136",30
"94","186",31
"89","17",31
"96","160",32
"95","129",33
"97","159",33
"91","178",33
"99","183",33
"104","16",33
"102","156",33
"101","173",33
"100","177",33
"98","11",33
"114","92",33
"103","96",33
"117","77",33
"113","3",33
"108","185",33
"105","146",34
"111","170",34
"107","172",34
"125","47",34
"110","116",34
"109","149",34
"112","191",34
"127","46",34
"115","174",34
"106","15",34
"116","52",35
"132","39",35
"119","67",35
"118","49",36
"123","180",36
"122","109",37
"120","23",37
"121","29",37
"126","115",38
"128","165",38
"124","40",38
"129","152",39
"130","155",39
"140","6",39
"131","104",39
"133","66",40
"135","101",40
"146","4",40
"136","24",40
"134","35",40
"147","1",40
"137","19",40
"139","56",41
"138","147",41
"142","97",42
"144","83",42
"143","157",43
"141","167",43
"145","148",44
"148","138",45
"150","87",45
"149","65",46
"151","168",47
"158","54",47
"152","190",47
"153","98",48
"156","162",49
"154","128",50
"155","143",51
"157","113",52
"166","197",52
"159","81",52
"160","123",53
"162","68",54
"169","111",54
"161","150",54
"163","171",54
"164","9",55
"165","166",56
"174","8",56
"168","192",56
"167","144",57
"171","196",57
"173","61",58
"170","120",58
"172","106",59
"177","26",59
"175","12",60
"182","199",60
"185","74",61
"178","82",61
"176","200",62
"184","5",62
"186","86",63
"179","188",63
"183","20",63
"180","114",64
"181","151",64
"187","154",64
"196","21",65
"199","76",66
"191","13",67
"192","142",67
"198","64",67
"200","90",67
"197","59",68
"189","118",69
"190","122",70
"193","145",70
"188","107",71
"195","195",72
"194","179",73
