node,hopcount,latency,power,deploymentPenalty,utilization
0,4,429,626,15400,0
1,4,426,735,8700,0
2,3,410,773,12080,0
3,4,445,686,15360,0
4,3,336,743,19680,0
5,4,440,770,14880,0
6,4,476,630,2900,0
7,3,504,643,19380,0
8,4,382,665,16300,0
9,4,646,748,8580,0
10,5,684,761,10380,0
11,5,502,557,17540,0
12,5,522,741,19400,0
13,5,604,652,7080,0
14,5,549,712,11480,0
15,4,624,790,11260,0
16,4,452,679,9460,0
17,5,628,557,6520,0
18,4,684,643,13480,0
19,4,676,777,17660,0
20,5,537,662,18540,0
21,5,650,744,6240,0
22,4,612,785,12200,0
23,4,554,799,13540,0
24,5,768,684,2560,0
25,5,618,573,17060,0
26,5,552,739,5180,0
27,5,658,544,2900,0
28,5,570,773,11900,0
29,5,471,691,1500,0
30,5,576,611,8440,0
31,5,644,789,1400,0
32,5,531,741,5000,0
33,5,766,530,9080,0
34,5,540,605,13300,0
35,5,507,530,1740,0
36,5,768,720,7800,0
37,5,706,702,4220,0
38,5,596,754,13860,0
39,4,556,633,12340,0
40,5,622,671,8780,0
41,5,578,752,7780,0
42,4,652,723,1220,0
43,5,609,572,6340,0
44,5,553,608,6460,0
45,5,654,715,12800,0
46,5,518,500,13360,0
47,4,546,691,5540,0
48,5,575,624,11800,0
49,5,539,699,8940,0
50,5,582,547,5920,0
51,5,518,727,11660,0
52,5,507,640,6920,0
53,4,644,556,16440,0
54,4,693,718,2580,0
55,4,614,595,13900,0
56,3,423,747,1040,0
57,5,740,695,3260,5
58,5,619,530,19600,7
59,5,680,582,2540,0
60,2,300,540,17380,0
61,4,435,762,7600,0
62,5,619,704,1760,0
63,4,590,773,18840,0
64,4,762,697,14320,0
65,5,486,612,13160,0
66,3,470,502,12160,0
67,4,496,716,16000,0
68,3,585,549,1780,0
69,5,901,665,8500,0
70,4,444,514,5540,0
71,5,772,621,2340,0
72,3,369,773,2880,0
73,3,528,603,19560,0
74,4,526,590,9100,0
75,5,600,688,18480,0
76,5,770,519,13140,0
77,5,704,502,2160,0
78,5,613,647,9520,0
79,5,622,610,9040,0
80,5,530,629,15780,0
81,4,676,711,17420,0
82,4,452,535,13860,0
83,4,472,785,1800,0
84,3,374,613,4760,2
85,5,526,795,19800,0
86,4,561,764,13920,0
87,4,478,650,7120,0
88,4,372,683,4840,0
89,4,604,770,19300,0
90,4,516,577,3820,0
91,5,589,716,12080,0
92,4,454,761,2600,0
93,4,594,504,1760,0
94,5,531,544,4040,0
95,5,668,771,10600,1
96,5,604,742,13900,0
97,4,568,772,15200,0
98,4,674,748,12380,0
99,4,596,676,8380,0
100,4,596,500,13480,0
101,4,636,519,5820,0
102,4,654,622,6740,0
103,4,531,538,13180,0
104,4,430,510,2040,0
105,4,678,715,17420,0
106,5,592,623,19760,0
107,2,336,641,1880,0
108,4,626,689,12740,2
109,5,557,615,7580,0
110,4,368,683,17760,0
111,5,552,537,7420,0
112,4,466,538,15980,0
113,6,881,762,18420,0
114,5,879,736,10860,0
115,6,812,727,9440,0
116,5,631,513,2420,0
117,6,728,784,18120,0
118,5,577,528,5100,0
119,5,916,710,15820,0
120,6,710,628,3140,0
121,5,711,625,18780,0
122,5,791,509,14960,0
123,6,660,776,1560,0
124,5,891,521,2480,0
125,5,583,502,7600,0
126,5,688,768,2340,0
127,6,743,782,13800,0
128,6,778,507,8020,0
129,6,636,533,4540,0
130,5,538,790,3460,0
131,5,661,782,6560,0
132,5,829,798,4500,0
133,6,649,770,3960,0
134,5,869,573,7000,0
135,5,705,513,8980,0
136,5,617,522,2480,0
137,5,434,542,15080,0
138,6,617,633,2600,0
139,3,501,622,2100,0
140,5,827,561,7080,0
141,5,599,739,19060,0
142,6,886,739,14080,0
143,5,700,629,15600,0
144,5,780,542,18820,0
145,4,512,561,10180,0
146,5,679,502,12760,0
147,5,791,664,12960,0
148,5,637,704,9960,0
149,6,880,584,15480,0
150,6,766,512,17800,0
151,5,496,619,12060,0
152,6,717,727,6380,0
153,5,676,5000,0,64
154,6,824,574,11080,0
155,6,817,587,8880,0
156,5,541,659,12920,0
157,6,709,734,8660,0
158,6,899,689,8060,0
159,5,864,677,8240,0
160,5,440,642,7720,0
161,6,615,595,14200,0
162,6,717,724,6700,0
163,5,728,641,1480,0
164,5,858,520,11020,0
165,6,773,701,15100,0
166,5,708,800,12800,0
167,6,661,568,14820,0
168,3,384,638,3000,0
169,5,782,770,9020,2
170,4,426,657,14480,0
171,3,552,737,9440,0
172,5,1086,566,8400,0
173,5,413,514,12140,0
174,5,749,556,2600,0
175,6,736,683,4280,3
176,5,710,585,10740,0
177,6,646,690,9700,0
178,1,0,779,19140,1
179,5,718,711,10320,0
180,4,593,549,1820,0
181,5,790,736,3660,0
182,5,625,777,8540,0
183,3,644,765,2940,0
184,5,544,597,9660,0
185,5,697,563,8000,0
186,5,773,702,4820,0
187,5,578,576,17340,1
188,5,562,781,1840,0
189,5,741,514,14780,0
190,5,742,535,9740,0
191,5,739,624,15540,0
192,5,574,628,2460,0
193,7,930,554,1740,2
194,6,822,781,17560,5
195,7,892,585,11580,0
196,6,889,632,6640,2
197,6,637,569,5960,1
198,7,1099,720,2880,1
199,7,877,698,15000,3
