"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","158",1
"2","151",2
"5","104",3
"6","101",4
"3","177",4
"4","111",5
"7","109",6
"9","105",6
"8","145",6
"10","113",7
"11","161",8
"12","187",9
"13","103",10
"18","193",11
"14","189",11
"15","175",12
"19","123",12
"16","127",12
"17","139",12
"20","107",13
"26","169",14
"27","181",14
"28","141",15
"31","153",16
"32","163",16
"36","133",17
"21","157",17
"22","171",18
"37","185",18
"23","155",18
"40","135",18
"41","190",18
"24","119",18
"25","167",19
"29","149",20
"45","112",20
"46","115",20
"30","121",20
"34","143",21
"33","117",22
"35","137",23
"43","102",23
"38","183",23
"39","191",23
"42","147",24
"44","92",25
"47","131",26
"51","108",26
"52","110",26
"55","164",26
"57","174",26
"58","178",26
"53","138",27
"56","168",27
"50","7",27
"48","165",27
"49","173",27
"59","106",27
"54","159",27
"61","125",28
"63","136",28
"64","162",28
"65","192",29
"67","129",29
"62","130",29
"70","179",29
"66","172",29
"60","114",29
"72","122",29
"74","146",29
"75","148",29
"76","152",29
"78","188",29
"69","47",29
"71","1",30
"73","126",30
"77","166",30
"81","140",31
"68","142",31
"82","156",31
"87","144",32
"88","198",33
"86","77",33
"92","3",34
"94","5",34
"84","150",34
"80","124",34
"85","180",34
"83","128",34
"91","81",34
"79","118",34
"95","116",34
"106","13",34
"107","39",34
"96","160",34
"110","195",34
"100","75",34
"114","99",34
"90","134",34
"98","53",34
"89","67",34
"112","35",34
"113","41",34
"104","194",34
"103","176",35
"108","9",35
"93","132",35
"111","21",35
"124","6",35
"125","73",35
"126","93",36
"101","95",36
"122","27",36
"119","31",36
"116","33",36
"118","97",36
"109","15",36
"102","51",36
"115","120",36
"105","69",36
"97","83",36
"121","184",36
"131","29",36
"117","91",36
"132","57",37
"140","89",37
"128","17",37
"135","197",37
"130","23",37
"133","85",37
"120","170",37
"129","182",37
"99","71",37
"127","11",37
"151","2",37
"136","43",37
"137","45",37
"138","49",37
"173","54",37
"142","100",38
"134","186",38
"139","79",38
"148","19",39
"174","55",39
"123","59",39
"183","66",39
"190","8",39
"194","86",39
"156","25",40
"163","37",41
"178","61",41
"180","63",41
"182","65",41
"195","87",41
"165","4",42
"145","154",43
"199","96",44
"200","98",44
"147","18",45
"191","80",46
"187","74",47
"169","46",48
"175","56",48
"146","16",49
"154","22",50
"149","196",51
"153","200",52
"150","199",53
"144","14",54
"197","90",55
"157","26",56
"143","12",57
"162","36",57
"159","30",58
"172","52",58
"176","58",58
"196","88",59
"158","28",60
"168","44",61
"155","24",62
"193","84",63
"167","42",64
"179","62",65
"188","76",65
"198","94",66
"160","32",67
"170","48",67
"186","72",67
"164","38",68
"166","40",68
"141","10",69
"177","60",70
"192","82",70
"181","64",71
"152","20",72
"161","34",72
"189","78",73
"171","50",74
"184","68",75
"185","70",76
