node,hopcount,latency,power,deploymentPenalty,utilization
0,3,188,626,15400,0
1,3,262,735,8700,0
2,3,82,773,12080,0
3,3,114,686,15360,0
4,3,120,743,19680,0
5,2,52,770,14880,0
6,3,121,630,2900,0
7,3,83,643,19380,0
8,4,166,665,16300,0
9,4,225,748,8580,0
10,3,202,761,10380,0
11,4,338,557,17540,0
12,3,134,741,19400,0
13,3,216,652,7080,0
14,4,308,712,11480,0
15,2,142,790,11260,0
16,4,236,679,9460,0
17,4,273,557,6520,0
18,4,263,643,13480,0
19,4,255,777,17660,0
20,4,296,662,18540,0
21,4,295,744,6240,0
22,4,191,785,12200,0
23,4,133,799,13540,0
24,3,286,684,2560,0
25,3,230,573,17060,0
26,3,164,739,5180,0
27,3,176,544,2900,0
28,3,182,773,11900,0
29,4,140,691,1500,0
30,3,188,611,8440,0
31,3,162,789,1400,0
32,4,290,741,5000,0
33,3,284,530,9080,0
34,3,152,605,13300,0
35,4,266,530,1740,0
36,3,286,720,7800,0
37,3,224,702,4220,0
38,4,241,754,13860,0
39,4,228,633,12340,0
40,4,267,671,8780,0
41,4,414,752,7780,0
42,4,231,723,1220,0
43,3,181,572,6340,0
44,4,222,608,6460,0
45,4,299,715,12800,0
46,4,163,500,13360,0
47,4,218,691,5540,0
48,4,244,624,11800,0
49,3,373,699,8940,0
50,4,418,547,5920,0
51,3,276,727,11660,0
52,2,228,640,6920,0
53,4,161,556,16440,0
54,4,272,718,2580,0
55,3,190,595,13900,0
56,3,175,747,1040,0
57,4,379,695,3260,3
58,3,298,530,19600,0
59,3,252,582,2540,0
60,4,156,540,17380,0
61,4,219,762,7600,0
62,3,227,704,1760,0
63,3,196,773,18840,0
64,4,383,697,14320,0
65,4,245,612,13160,0
66,4,169,502,12160,0
67,4,342,716,16000,0
68,3,181,549,1780,0
69,3,376,665,8500,0
70,4,239,514,5540,0
71,3,212,621,2340,0
72,4,124,773,2880,0
73,4,218,603,19560,0
74,4,204,590,9100,0
75,4,436,688,18480,0
76,4,192,519,13140,0
77,3,320,502,2160,0
78,3,238,647,9520,0
79,4,242,610,9040,0
80,3,138,629,15780,0
81,4,301,711,17420,0
82,4,236,535,13860,0
83,4,144,785,1800,0
84,4,205,613,4760,0
85,3,258,795,19800,0
86,3,244,764,13920,0
87,4,248,650,7120,0
88,3,247,683,4840,0
89,3,164,770,19300,0
90,3,238,577,3820,0
91,3,182,716,12080,0
92,3,156,761,2600,0
93,3,319,504,1760,0
94,2,180,544,4040,0
95,1,0,771,10600,1
96,4,140,742,13900,0
97,2,100,772,15200,0
98,4,334,748,12380,0
99,3,294,676,8380,0
100,3,106,500,13480,0
101,3,220,519,5820,0
102,3,262,622,6740,0
103,4,240,538,13180,0
104,4,214,510,2040,0
105,3,176,715,17420,0
106,3,264,623,19760,0
107,4,332,641,1880,0
108,3,188,689,12740,0
109,4,254,615,7580,0
110,3,128,683,17760,0
111,3,216,537,7420,0
112,2,74,538,15980,0
113,5,303,762,18420,0
114,4,463,736,10860,0
115,5,509,727,9440,0
116,3,239,513,2420,0
117,5,425,784,18120,0
118,3,185,528,5100,0
119,5,541,710,15820,0
120,5,407,628,3140,0
121,4,319,625,18780,0
122,4,353,509,14960,0
123,3,309,776,1560,0
124,4,499,521,2480,0
125,5,367,502,7600,0
126,4,248,768,2340,0
127,5,440,782,13800,0
128,4,450,507,8020,0
129,4,300,533,4540,0
130,5,384,790,3460,0
131,3,269,782,6560,0
132,3,361,798,4500,0
133,4,321,770,3960,0
134,4,431,573,7000,0
135,4,289,513,8980,0
136,5,401,522,2480,0
137,4,194,542,15080,0
138,4,225,633,2600,0
139,5,497,622,2100,0
140,4,389,561,7080,0
141,4,359,739,19060,0
142,4,326,739,14080,0
143,5,372,629,15600,0
144,5,489,542,18820,0
145,5,211,561,10180,0
146,3,287,502,12760,0
147,4,301,664,12960,0
148,5,407,704,9960,0
149,5,500,584,15480,0
150,4,359,512,17800,0
151,3,104,619,12060,0
152,4,381,727,6380,0
153,5,354,5000,0,64
154,4,440,574,11080,0
155,5,653,587,8880,0
156,5,311,659,12920,0
157,4,302,734,8660,0
158,4,417,689,8060,0
159,4,362,677,8240,0
160,4,200,642,7720,0
161,4,279,595,14200,0
162,4,381,724,6700,0
163,4,426,641,1480,0
164,4,466,520,11020,0
165,4,381,701,15100,0
166,4,206,800,12800,0
167,4,393,568,14820,0
168,4,365,638,3000,0
169,3,390,770,9020,2
170,5,338,657,14480,0
171,4,304,737,9440,0
172,4,466,566,8400,0
173,4,173,514,12140,0
174,4,311,556,2600,0
175,4,408,683,4280,0
176,4,408,585,10740,0
177,4,378,690,9700,0
178,5,668,779,19140,0
179,4,420,711,10320,0
180,4,399,549,1820,0
181,5,574,736,3660,0
182,5,409,777,8540,0
183,4,437,765,2940,0
184,4,419,597,9660,0
185,3,305,563,8000,0
186,4,471,702,4820,0
187,3,186,576,17340,1
188,4,264,781,1840,0
189,4,402,514,14780,0
190,5,414,535,9740,0
191,3,271,624,15540,0
192,4,734,628,2460,0
193,5,662,554,1740,2
194,6,494,781,17560,2
195,5,564,585,11580,0
196,4,497,632,6640,1
197,5,397,569,5960,1
198,5,707,720,2880,0
199,6,637,698,15000,1
