node,hopcount,latency,power,deploymentPenalty,utilization
0,4,353,626,15400,0
1,4,350,735,8700,0
2,3,334,773,12080,0
3,4,626,686,15360,0
4,4,593,743,19680,0
5,4,613,770,14880,0
6,4,400,630,2900,0
7,3,582,643,19380,0
8,5,639,665,16300,0
9,4,724,748,8580,0
10,4,384,761,10380,0
11,5,426,557,17540,0
12,5,695,741,19400,0
13,5,777,652,7080,0
14,5,473,712,11480,0
15,3,324,790,11260,0
16,5,709,679,9460,0
17,5,552,557,6520,0
18,4,762,643,13480,0
19,4,754,777,17660,0
20,5,461,662,18540,0
21,5,574,744,6240,0
22,4,690,785,12200,0
23,4,632,799,13540,0
24,4,468,684,2560,0
25,5,791,573,17060,0
26,5,725,739,5180,0
27,4,358,544,2900,0
28,5,743,773,11900,0
29,5,652,691,1500,0
30,5,749,611,8440,0
31,4,344,789,1400,0
32,5,455,741,5000,0
33,4,466,530,9080,0
34,5,713,605,13300,0
35,5,431,530,1740,0
36,4,468,720,7800,0
37,4,406,702,4220,0
38,5,520,754,13860,0
39,4,480,633,12340,0
40,5,546,671,8780,0
41,5,502,752,7780,0
42,4,730,723,1220,0
43,4,363,572,6340,0
44,5,477,608,6460,0
45,5,578,715,12800,0
46,5,442,500,13360,0
47,4,470,691,5540,0
48,5,499,624,11800,0
49,4,555,699,8940,0
50,5,506,547,5920,0
51,4,458,727,11660,0
52,5,431,640,6920,0
53,4,722,556,16440,0
54,4,771,718,2580,0
55,4,692,595,13900,0
56,4,357,747,1040,0
57,5,818,695,3260,11
58,4,541,530,19600,7
59,4,434,582,2540,0
60,5,698,540,17380,0
61,5,692,762,7600,0
62,4,354,704,1760,0
63,4,514,773,18840,0
64,2,324,697,14320,0
65,5,410,612,13160,0
66,4,668,502,12160,0
67,5,858,716,16000,0
68,4,363,549,1780,0
69,4,558,665,8500,0
70,5,757,514,5540,0
71,4,394,621,2340,0
72,4,376,773,2880,0
73,4,732,603,19560,0
74,4,559,590,9100,0
75,5,524,688,18480,0
76,5,848,519,13140,0
77,4,502,502,2160,0
78,4,535,647,9520,0
79,5,691,610,9040,0
80,5,697,629,15780,0
81,4,754,711,17420,0
82,5,566,535,13860,0
83,4,396,785,1800,0
84,4,704,613,4760,8
85,4,440,795,19800,0
86,4,426,764,13920,0
87,4,603,650,7120,0
88,4,795,683,4840,0
89,4,682,770,19300,0
90,2,228,577,3820,0
91,5,494,716,12080,0
92,4,378,761,2600,0
93,3,498,504,1760,0
94,5,712,544,4040,2
95,4,466,771,10600,1
96,5,652,742,13900,0
97,4,646,772,15200,0
98,4,752,748,12380,0
99,4,593,676,8380,0
100,4,674,500,13480,0
101,4,432,519,5820,0
102,4,732,622,6740,0
103,5,778,538,13180,0
104,3,352,510,2040,0
105,3,531,715,17420,3
106,4,514,623,19760,0
107,4,750,641,1880,0
108,4,704,689,0,5
109,4,428,615,0,3
110,5,715,683,17760,0
111,4,665,537,7420,0
112,4,633,538,15980,0
113,6,959,762,18420,0
114,5,675,736,10860,0
115,5,683,727,9440,0
116,5,798,513,2420,0
117,5,599,784,18120,0
118,5,744,528,5100,0
119,5,994,710,15820,0
120,5,581,628,3140,0
121,5,789,625,18780,0
122,5,869,509,14960,0
123,6,584,776,1560,0
124,5,969,521,2480,0
125,4,505,502,7600,0
126,5,766,768,2340,0
127,5,614,782,13800,0
128,5,700,507,8020,0
129,5,749,533,4540,0
130,6,900,790,3460,0
131,5,828,782,6560,0
132,5,907,798,4500,0
133,5,571,770,3960,0
134,5,947,573,7000,0
135,5,501,513,8980,0
136,6,731,522,2480,0
137,6,781,542,15080,0
138,6,784,633,2600,0
139,5,915,622,2100,0
140,5,905,561,7080,0
141,6,946,739,19060,0
142,5,508,739,14080,0
143,5,624,629,15600,0
144,6,1027,542,18820,0
145,5,710,561,10180,0
146,5,846,502,12760,0
147,5,869,664,12960,0
148,5,762,704,9960,0
149,6,949,584,15480,0
150,6,671,512,17800,0
151,5,663,619,12060,0
152,5,830,727,6380,0
153,5,709,5000,0,64
154,5,622,574,11080,0
155,6,741,587,8880,0
156,5,666,659,12920,0
157,6,614,734,8660,0
158,5,599,689,8060,0
159,4,717,677,8240,0
160,6,787,642,7720,0
161,5,728,595,14200,0
162,5,830,724,6700,0
163,5,725,641,1480,0
164,5,936,520,11020,0
165,6,940,701,15100,0
166,4,561,800,12800,0
167,5,575,568,14820,0
168,5,456,638,3000,0
169,5,949,770,9020,2
170,5,756,657,14480,0
171,5,624,737,9440,0
172,1,0,566,8400,1
173,6,760,514,12140,0
174,5,827,556,2600,0
175,5,658,683,4280,9
176,5,788,585,10740,2
177,5,560,690,9700,0
178,5,744,779,19140,1
179,5,642,711,10320,0
180,5,621,549,1820,0
181,4,712,736,3660,0
182,4,547,777,8540,0
183,5,716,765,2940,0
184,5,967,597,9660,0
185,5,864,563,8000,0
186,5,851,702,4820,0
187,5,745,576,17340,1
188,5,486,781,1840,0
189,5,652,514,14780,0
190,5,666,535,9740,0
191,5,817,624,15540,0
192,5,601,628,2460,0
193,6,844,554,1740,2
194,6,746,781,17560,7
195,6,814,585,11580,1
196,6,1056,632,6640,2
197,7,984,569,5960,1
198,7,1266,720,2880,1
199,8,1224,698,15000,4
