"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","58",1
"2","7",2
"3","94",3
"4","63",4
"5","30",5
"6","43",5
"7","57",5
"8","36",6
"9","164",7
"10","32",8
"11","69",8
"12","108",9
"13","84",9
"14","105",10
"18","55",10
"15","78",10
"20","93",10
"16","72",10
"17","193",11
"22","28",11
"19","60",11
"21","25",12
"23","73",12
"26","117",13
"27","124",14
"29","181",15
"32","189",15
"33","127",16
"31","194",16
"35","140",17
"40","139",17
"24","91",17
"25","95",18
"38","125",18
"39","137",18
"41","175",19
"28","38",19
"43","169",19
"30","85",19
"46","121",19
"34","89",19
"36","187",20
"50","131",20
"37","33",20
"52","134",20
"54","130",21
"48","22",21
"55","182",21
"56","184",21
"42","27",21
"51","18",21
"44","71",21
"45","102",22
"53","119",22
"59","176",22
"47","48",22
"49","51",23
"60","100",23
"57","44",23
"64","133",23
"63","2",23
"58","45",23
"65","41",23
"61","103",23
"62","53",23
"69","198",23
"72","80",24
"66","88",24
"67","14",25
"75","79",25
"68","112",25
"78","153",25
"71","62",25
"70","161",26
"73","110",27
"81","132",27
"74","42",27
"76","37",28
"77","10",29
"79","31",29
"85","163",29
"87","141",30
"86","135",31
"90","99",31
"84","158",31
"80","75",31
"82","70",32
"83","50",33
"92","126",33
"88","34",33
"93","136",33
"94","186",34
"89","17",34
"95","129",35
"96","159",35
"97","160",35
"91","178",35
"99","183",35
"104","16",35
"101","156",35
"100","173",35
"98","11",35
"114","92",35
"103","96",35
"102","177",36
"117","77",36
"113","3",36
"107","185",36
"105","146",36
"111","170",36
"106","172",36
"124","47",36
"110","116",36
"109","149",36
"112","191",36
"127","46",36
"115","174",36
"108","15",36
"116","52",37
"132","39",37
"118","49",37
"119","67",37
"122","180",37
"120","23",37
"121","29",37
"123","40",38
"125","109",39
"126","115",39
"128","165",39
"129","152",40
"130","155",40
"140","6",40
"131","104",40
"133","66",41
"135","101",41
"147","4",41
"145","1",42
"136","24",42
"134","35",42
"137","19",43
"139","56",44
"138","147",44
"142","97",45
"141","167",46
"144","83",46
"143","157",47
"146","148",48
"149","87",48
"148","138",49
"150","65",50
"151","168",51
"158","54",51
"152","190",51
"153","98",52
"156","162",53
"154","128",54
"155","143",55
"157","113",56
"166","197",56
"159","81",56
"160","123",57
"162","68",58
"169","111",58
"161","150",58
"163","171",58
"164","9",59
"165","166",60
"174","8",60
"168","192",60
"167","144",61
"171","196",61
"170","120",61
"172","26",61
"173","61",61
"176","12",62
"180","74",62
"175","106",62
"183","199",62
"178","82",62
"177","200",63
"186","5",63
"187","86",64
"179","188",64
"184","20",64
"181","114",65
"182","151",65
"188","154",65
"185","21",65
"199","76",66
"192","13",67
"193","142",67
"198","64",67
"200","90",67
"197","59",68
"190","118",69
"191","122",70
"194","145",70
"189","107",71
"196","195",72
"195","179",73
