"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","192",1
"2","107",2
"3","103",3
"4","105",4
"5","113",5
"6","129",5
"7","188",6
"8","165",7
"10","125",8
"11","133",9
"9","185",9
"12","101",10
"13","111",11
"14","119",12
"15","117",13
"16","121",14
"17","189",14
"18","109",15
"19","147",16
"20","191",16
"25","183",17
"21","139",17
"27","143",17
"22","161",17
"23","171",17
"32","110",17
"34","134",17
"35","190",17
"26","177",17
"28","137",18
"37","176",18
"31","197",18
"30","159",19
"40","122",19
"36","123",19
"38","175",20
"42","186",20
"39","151",20
"41","155",21
"43","187",21
"24","131",21
"48","141",21
"29","167",21
"33","127",22
"44","195",23
"52","152",23
"45","169",23
"47","163",24
"53","102",24
"54","112",24
"56","126",24
"49","181",24
"46","153",24
"58","108",24
"51","135",24
"60","196",24
"57","104",25
"61","106",25
"64","115",26
"66","145",26
"50","157",26
"63","5",26
"67","116",26
"55","118",26
"59","128",27
"69","173",27
"70","179",27
"71","193",27
"72","199",27
"73","138",28
"74","146",28
"75","174",28
"68","98",28
"62","132",28
"80","61",28
"65","124",28
"79","178",28
"76","136",28
"77","164",28
"78","168",28
"82","162",29
"81","130",30
"83","149",31
"87","9",31
"88","69",32
"95","95",32
"84","158",32
"85","172",32
"93","57",32
"90","71",32
"94","75",32
"91","1",33
"86","148",33
"89","166",34
"98","67",35
"92","170",35
"100","11",35
"101","3",35
"99","83",35
"96","142",35
"97","140",36
"105","17",36
"103","182",36
"106","81",36
"107","7",37
"102","160",37
"112","76",37
"111","13",38
"110","114",39
"118","8",40
"104","180",40
"120","35",40
"123","25",41
"108","150",41
"113","16",42
"124","27",42
"125","37",42
"126","85",42
"127","93",42
"129","23",43
"131","91",44
"133","29",45
"134","31",45
"121","47",45
"114","120",45
"117","6",45
"109","73",45
"138","63",45
"141","43",45
"135","59",45
"119","96",45
"115","144",46
"116","198",47
"122","21",48
"130","33",48
"142","19",48
"144","55",48
"145","87",48
"146","99",48
"132","15",48
"136","72",49
"153","53",49
"154","79",49
"155","89",49
"128","2",49
"152","51",49
"140","184",49
"139","77",49
"147","156",49
"143","45",49
"149","39",50
"150","41",50
"151","49",50
"156","65",50
"137","62",50
"157","97",50
"162","154",51
"148","194",51
"169","28",52
"171","32",53
"174","38",54
"187","64",55
"159","100",56
"175","4",56
"186","60",56
"167","24",57
"178","44",58
"189","68",58
"172","34",59
"173","36",60
"170","30",61
"196","86",61
"192","78",62
"165","200",63
"183","54",63
"193","80",63
"184","56",64
"199","92",64
"158","10",65
"191","74",65
"161","14",66
"194","82",67
"198","90",68
"168","26",69
"160","12",70
"164","20",70
"180","48",71
"181","50",72
"190","70",72
"182","52",73
"176","40",74
"195","84",75
"163","18",76
"200","94",77
"177","42",78
"197","88",79
"166","22",80
"179","46",80
"188","66",81
"185","58",82
