"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","186",1
"2","152",2
"3","106",3
"4","110",3
"5","188",3
"6","192",3
"7","102",4
"8","112",4
"9","138",4
"10","148",4
"11","174",4
"12","176",4
"13","190",4
"14","134",5
"15","130",6
"16","136",6
"17","160",7
"18","108",8
"19","126",8
"20","162",8
"23","132",8
"21","164",8
"22","166",8
"24","180",9
"25","196",9
"26","156",10
"28","170",10
"27","142",11
"29","172",11
"30","198",12
"31","104",13
"32","114",14
"33","118",15
"34","124",15
"35","128",15
"36","168",15
"37","178",16
"38","122",17
"39","116",18
"40","184",19
"41","146",20
"42","140",21
"43","144",22
"44","182",23
"45","150",24
"46","120",25
"47","158",25
"48","200",26
"49","197",27
"50","194",28
"51","199",29
"72","4",29
"91","76",29
"99","90",30
"102","96",30
"67","30",31
"59","16",32
"66","28",33
"70","36",33
"92","78",34
"93","8",34
"101","94",34
"69","34",35
"79","54",36
"61","2",37
"56","100",38
"68","32",39
"82","6",39
"98","88",39
"103","98",39
"75","44",40
"83","60",40
"85","64",41
"57","12",42
"60","18",42
"64","24",42
"89","72",42
"96","84",42
"71","38",43
"84","62",43
"65","26",44
"77","50",44
"78","52",44
"87","68",44
"94","80",44
"97","86",44
"80","56",45
"88","70",45
"52","113",45
"55","10",45
"53","107",45
"58","14",45
"62","20",45
"63","22",45
"73","40",45
"74","42",45
"76","48",45
"81","58",45
"86","66",45
"90","74",45
"95","82",45
"54","101",45
"100","92",46
"107","111",47
"104","46",47
"109","119",48
"105","105",49
"106","109",49
"108","117",49
"110","129",49
"111","139",49
"112","147",49
"113","161",49
"114","185",49
"115","121",50
"116","187",50
"117","157",51
"118","175",52
"119","177",52
"120","123",53
"121","103",54
"124","127",54
"122","169",54
"123","163",55
"125","141",56
"126","153",56
"129","189",56
"127","191",56
"128","149",57
"130","167",57
"131","143",58
"132","131",59
"133","137",60
"134","135",61
"135","159",62
"136","183",62
"137","155",63
"138","133",64
"139","115",65
"140","181",66
"141","195",67
"142","179",68
"145","154",68
"143","165",68
"144","125",69
"156","193",69
"149","145",70
"153","171",70
"154","173",70
"151","151",71
"190","81",72
"146","1",73
"173","5",73
"180","63",74
"188","77",75
"182","67",76
"184","7",76
"179","61",77
"199","97",77
"162","3",78
"185","71",78
"198","95",79
"183","69",80
"171","47",81
"191","83",81
"194","89",81
"178","59",82
"187","75",82
"157","21",83
"177","57",83
"195","9",83
"197","93",83
"150","15",84
"164","33",84
"170","45",84
"186","73",84
"147","11",85
"172","49",85
"174","51",85
"200","99",85
"196","91",86
"167","39",87
"148","13",88
"169","43",88
"152","17",89
"158","23",89
"165","35",89
"168","41",90
"192","85",90
"159","25",91
"160","27",91
"166","37",91
"175","53",91
"181","65",91
"155","19",92
"161","29",92
"163","31",92
"176","55",92
"189","79",92
"193","87",93
