"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","101",1
"2","105",1
"3","109",1
"4","111",2
"5","107",3
"6","113",3
"7","103",4
"8","177",4
"9","139",5
"10","161",5
"11","157",6
"12","119",7
"13","187",7
"14","151",8
"15","175",8
"16","193",9
"17","123",10
"18","117",11
"19","185",11
"20","143",12
"21","189",13
"22","149",14
"23","121",15
"24","147",16
"25","169",16
"26","183",17
"27","127",18
"28","141",19
"29","129",20
"30","159",20
"31","145",21
"32","163",22
"33","165",22
"34","181",22
"35","137",23
"36","153",23
"37","155",24
"38","167",25
"39","135",26
"40","173",26
"41","125",27
"42","115",28
"43","191",28
"44","131",29
"45","171",30
"46","133",31
"47","197",32
"48","168",33
"49","179",34
"50","178",35
"51","195",36
"52","102",37
"54","104",37
"57","112",38
"55","108",39
"56","110",40
"65","199",40
"62","152",41
"58","164",41
"64","174",42
"61","138",43
"60","136",44
"68","122",44
"69","126",45
"53","194",45
"77","188",45
"70","130",46
"63","158",46
"67","114",46
"73","162",46
"76","180",47
"71","146",48
"78","190",49
"59","134",49
"72","148",49
"74","172",49
"79","192",50
"66","106",51
"85","7",51
"80","124",52
"84","47",53
"81","132",54
"86","150",55
"87","186",55
"75","176",55
"88","140",55
"90","166",55
"82","142",55
"83","184",55
"92","69",56
"89","144",56
"91","1",57
"99","198",57
"96","156",58
"94","118",58
"93","77",58
"101","63",58
"104","128",58
"109","89",59
"98","196",59
"113","5",59
"117","91",59
"115","57",60
"103","95",60
"97","160",60
"118","3",60
"114","41",60
"116","79",60
"121","39",61
"105","116",61
"108","61",61
"106","182",61
"125","71",61
"127","99",61
"100","53",61
"102","81",61
"111","170",61
"107","45",61
"110","9",61
"112","21",62
"128","11",62
"119","49",62
"120","75",62
"122","15",63
"123","35",63
"124","51",63
"126","93",63
"129","33",64
"130","73",64
"131","83",64
"136","87",64
"132","13",64
"133","17",65
"137","25",65
"139","59",65
"134","27",65
"135","67",65
"138","31",66
"140","37",66
"141","97",67
"142","29",68
"143","85",69
"144","23",70
"146","43",71
"147","86",71
"148","19",72
"95","120",72
"149","55",72
"145","200",72
"150","65",72
"151","154",73
"156","16",73
"198","94",74
"169","4",75
"177","54",76
"158","2",77
"153","100",78
"163","28",79
"164","30",80
"167","36",81
"157","18",82
"166","34",82
"190","78",83
"154","12",84
"180","6",84
"184","66",85
"197","92",85
"172","44",86
"165","32",87
"200","98",88
"183","64",89
"187","72",89
"191","8",89
"168","38",90
"181","60",90
"192","80",90
"160","22",91
"173","46",91
"188","74",91
"176","52",92
"194","84",92
"195","88",92
"199","96",92
"161","24",93
"171","42",93
"182","62",93
"178","56",94
"179","58",94
"162","26",95
"170","40",95
"174","48",95
"175","50",95
"186","70",95
"189","76",95
"196","90",95
"152","10",96
"155","14",96
"185","68",96
"159","20",97
"193","82",97
