node,hopcount,latency,power,deploymentPenalty,utilization
0,4,383,626,15400,0
1,5,444,735,8700,0
2,5,402,773,12080,0
3,5,407,686,15360,0
4,4,301,743,19680,0
5,4,345,770,14880,0
6,4,417,630,2900,0
7,5,561,643,19380,0
8,5,347,665,16300,0
9,6,703,748,8580,0
10,6,489,761,10380,0
11,6,520,557,17540,0
12,5,427,741,19400,0
13,5,509,652,7080,0
14,5,503,712,11480,0
15,5,429,790,11260,0
16,5,417,679,9460,0
17,5,569,557,6520,0
18,6,741,643,13480,0
19,6,733,777,17660,0
20,5,491,662,18540,0
21,5,591,744,6240,0
22,6,669,785,12200,0
23,6,611,799,13540,0
24,6,573,684,2560,0
25,5,523,573,17060,0
26,5,457,739,5180,0
27,6,463,544,2900,0
28,5,475,773,11900,0
29,6,433,691,1500,0
30,5,481,611,8440,0
31,6,449,789,1400,0
32,5,485,741,5000,0
33,6,571,530,9080,0
34,5,445,605,13300,0
35,5,461,530,1740,0
36,6,573,720,7800,0
37,6,511,702,4220,0
38,5,537,754,13860,0
39,6,548,633,12340,0
40,5,563,671,8780,0
41,6,596,752,7780,0
42,6,460,723,1220,0
43,6,468,572,6340,0
44,5,514,608,6460,0
45,5,595,715,12800,0
46,5,459,500,13360,0
47,6,538,691,5540,0
48,6,537,624,11800,0
49,4,440,699,8940,0
50,6,600,547,5920,0
51,6,536,727,11660,0
52,6,525,640,6920,0
53,5,457,556,16440,0
54,6,751,718,2580,0
55,5,483,595,13900,0
56,6,462,747,1040,0
57,5,457,695,3260,1
58,6,584,530,19600,0
59,6,539,582,2540,0
60,5,337,540,17380,0
61,4,401,762,7600,0
62,5,628,704,1760,0
63,6,582,773,18840,0
64,6,660,697,14320,0
65,5,440,612,13160,0
66,6,398,502,12160,0
67,5,461,716,16000,0
68,6,468,549,1780,0
69,6,562,665,8500,0
70,5,409,514,5540,0
71,6,657,621,2340,0
72,6,444,773,2880,0
73,5,589,603,19560,0
74,6,481,590,9100,0
75,6,618,688,18480,0
76,5,487,519,13140,0
77,6,561,502,2160,0
78,5,634,647,9520,0
79,5,563,610,9040,0
80,5,415,629,15780,0
81,6,484,711,17420,0
82,5,417,535,13860,0
83,6,464,785,1800,0
84,6,434,613,4760,0
85,5,467,795,19800,0
86,5,526,764,13920,0
87,6,525,650,7120,0
88,5,337,683,4840,0
89,5,489,770,19300,0
90,6,519,577,3820,0
91,5,475,716,12080,0
92,5,449,761,2600,0
93,5,612,504,1760,0
94,6,493,544,4040,0
95,5,397,771,10600,1
96,5,565,742,13900,0
97,5,321,772,15200,0
98,4,391,748,12380,0
99,5,453,676,8380,0
100,5,423,500,13480,0
101,4,421,519,5820,0
102,5,539,622,6740,0
103,5,441,538,13180,0
104,5,395,510,2040,0
105,5,453,715,17420,0
106,5,499,623,19760,0
107,6,476,641,1880,0
108,5,481,689,12740,0
109,5,511,615,7580,0
110,3,269,683,17760,0
111,5,509,537,7420,0
112,4,351,538,15980,0
113,6,598,762,18420,0
114,5,664,736,10860,0
115,6,766,727,9440,0
116,5,516,513,2420,0
117,6,682,784,18120,0
118,5,462,528,5100,0
119,7,724,710,15820,0
120,6,664,628,3140,0
121,6,596,625,18780,0
122,6,646,509,14960,0
123,7,622,776,1560,0
124,6,776,521,2480,0
125,6,548,502,7600,0
126,6,573,768,2340,0
127,6,697,782,13800,0
128,6,685,507,8020,0
129,6,593,533,4540,0
130,6,503,790,3460,0
131,5,546,782,6560,0
132,6,582,798,4500,0
133,6,556,770,3960,0
134,6,724,573,7000,0
135,5,490,513,8980,0
136,6,582,522,2480,0
137,4,335,542,15080,0
138,6,502,633,2600,0
139,7,641,622,2100,0
140,6,682,561,7080,0
141,4,500,739,19060,0
142,7,771,739,14080,0
143,7,692,629,15600,0
144,6,690,542,18820,0
145,7,440,561,10180,0
146,5,564,502,12760,0
147,6,618,664,12960,0
148,7,684,704,9960,0
149,6,821,584,15480,0
150,6,652,512,17800,0
151,5,381,619,12060,0
152,6,674,727,6380,0
153,7,631,5000,0,64
154,7,681,574,11080,0
155,6,778,587,8880,0
156,7,588,659,12920,0
157,6,595,734,8660,0
158,7,704,689,8060,0
159,6,639,677,8240,0
160,4,341,642,7720,0
161,6,572,595,14200,0
162,6,674,724,6700,0
163,6,585,641,1480,0
164,6,743,520,11020,0
165,6,658,701,15100,0
166,6,483,800,12800,0
167,6,602,568,14820,0
168,6,658,638,3000,0
169,5,667,770,9020,2
170,7,1159,657,14480,0
171,5,505,737,9440,0
172,7,984,566,8400,0
173,2,224,514,12140,0
174,6,604,556,2600,0
175,6,643,683,4280,0
176,6,567,585,10740,0
177,6,587,690,9700,0
178,6,637,779,19140,0
179,6,713,711,10320,0
180,6,692,549,1820,0
181,6,755,736,3660,0
182,6,590,777,8540,0
183,7,784,765,2940,0
184,6,509,597,9660,0
185,5,582,563,8000,0
186,6,630,702,4820,0
187,5,463,576,17340,1
188,6,557,781,1840,0
189,6,637,514,14780,0
190,6,742,535,9740,0
191,6,588,624,15540,0
192,6,1011,628,2460,0
193,7,871,554,1740,2
194,7,822,781,17560,2
195,7,799,585,11580,0
196,6,774,632,6640,0
197,1,0,569,5960,1
198,7,984,720,2880,0
199,2,240,698,15000,1
