"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","199",1
"2","57",2
"3","30",3
"4","32",4
"5","43",4
"6","105",5
"7","63",5
"8","69",5
"9","94",5
"10","117",6
"11","164",7
"12","189",7
"13","78",7
"14","124",8
"15","36",8
"16","108",9
"17","197",9
"18","84",9
"19","127",10
"20","72",10
"21","137",11
"22","139",11
"23","25",11
"24","60",11
"25","125",12
"26","193",12
"27","28",12
"28","121",13
"29","175",13
"30","55",13
"31","58",13
"32","7",13
"33","93",13
"34","169",14
"35","184",15
"36","73",15
"40","91",16
"38","176",17
"43","181",17
"39","182",17
"41","131",17
"42","95",18
"37","134",18
"45","140",18
"46","194",18
"44","38",18
"47","130",19
"48","85",20
"49","119",21
"51","89",22
"52","133",23
"53","186",23
"50","187",23
"55","33",24
"56","27",25
"54","71",25
"57","102",26
"58","48",27
"59","198",28
"60","51",28
"61","44",29
"63","132",30
"62","45",30
"64","22",31
"65","153",32
"67","103",32
"66","18",32
"68","53",33
"69","163",34
"70","135",35
"73","88",35
"74","110",36
"72","141",36
"76","112",36
"75","129",36
"71","14",36
"77","126",37
"79","161",38
"78","62",38
"80","37",39
"81","42",40
"83","160",41
"82","100",42
"85","159",43
"84","70",43
"86","183",44
"87","2",44
"88","31",45
"89","173",46
"92","170",46
"91","10",47
"90","34",47
"93","50",48
"95","80",48
"96","136",49
"98","41",49
"94","75",49
"97","156",50
"99","116",51
"100","17",52
"101","79",53
"102","185",54
"103","191",54
"104","172",55
"107","158",55
"105","178",55
"106","149",56
"108","11",57
"110","96",57
"109","180",58
"111","177",59
"112","16",60
"113","115",61
"114","146",61
"116","165",62
"115","155",63
"118","196",64
"119","52",65
"117","15",65
"120","152",65
"121","49",66
"122","174",67
"124","147",67
"123","3",67
"125","29",68
"126","99",69
"128","67",70
"129","92",70
"130","109",70
"131","23",71
"127","40",71
"132","167",72
"133","148",73
"135","101",73
"134","77",73
"136","157",74
"137","104",75
"139","47",76
"140","66",77
"138","46",78
"142","35",79
"144","128",80
"141","24",80
"146","83",80
"143","97",80
"145","19",81
"147","190",82
"151","113",82
"148","39",82
"149","56",82
"150","87",82
"152","65",83
"153","143",84
"154","162",85
"158","4",86
"156","123",87
"155","6",87
"159","138",88
"157","168",88
"160","166",89
"164","192",89
"161","98",89
"163","171",90
"162","1",91
"165","200",92
"166","81",92
"168","150",93
"167","68",93
"171","144",93
"170","120",94
"169","9",94
"173","188",94
"172","54",94
"174","106",95
"175","26",96
"177","107",96
"176","61",96
"178","111",97
"181","76",98
"182","82",98
"180","195",99
"179","12",100
"183","154",100
"192","20",101
"200","90",102
"185","118",103
"194","5",103
"190","151",104
"184","114",105
"193","21",105
"186","122",106
"188","142",106
"195","59",106
"196","64",106
"198","8",106
"187","13",107
"189","145",107
"191","179",107
"197","74",108
"199","86",109
