"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","169",1
"2","171",2
"3","105",3
"4","101",4
"5","113",5
"6","181",5
"7","111",6
"8","157",6
"9","179",7
"12","109",8
"10","193",8
"11","189",9
"14","103",9
"13","139",9
"15","149",10
"17","107",11
"18","177",12
"19","127",13
"20","185",13
"23","191",14
"24","175",15
"25","187",16
"26","145",17
"27","123",18
"16","161",18
"21","119",19
"29","141",19
"22","167",19
"28","117",20
"32","125",20
"34","165",20
"30","115",21
"31","121",21
"33","135",21
"36","163",22
"37","153",23
"38","183",23
"39","147",24
"40","173",24
"42","151",25
"35","133",25
"41","108",26
"51","85",26
"52","73",27
"44","137",27
"45","155",28
"47","195",29
"56","57",29
"46","131",29
"57","3",29
"48","159",29
"58","67",29
"60","1",30
"49","129",30
"50","143",30
"88","81",30
"92","93",30
"59","69",30
"85","7",30
"77","47",31
"81","53",31
"87","75",31
"91","91",31
"93","95",31
"79","5",32
"62","13",33
"66","21",34
"71","33",34
"72","35",34
"43","140",34
"63","15",34
"67","23",34
"68","27",35
"76","45",35
"90","9",36
"70","31",37
"78","49",37
"80","51",37
"69","29",38
"75","43",39
"65","19",40
"73","39",40
"89","83",40
"95","99",40
"74","41",41
"94","97",41
"53","172",41
"64","17",41
"82","55",41
"86","71",42
"61","11",43
"84","65",44
"54","146",44
"55","104",45
"98","59",45
"100","77",46
"96","25",47
"97","37",47
"83","61",47
"102","87",47
"105","184",47
"106","102",48
"108","197",48
"104","112",48
"107","110",49
"109","152",50
"110","174",50
"112","106",50
"111","138",50
"119","144",50
"120","136",51
"121","122",52
"113","126",52
"114","130",52
"115","162",52
"123","164",52
"116","178",52
"125","180",52
"117","188",52
"118","168",53
"122","124",54
"127","190",54
"99","63",54
"101","79",54
"103","89",54
"124","166",55
"128","192",55
"132","148",56
"126","158",56
"129","132",57
"131","118",58
"130","186",58
"134","128",58
"135","134",59
"136","142",59
"139","199",59
"137","116",59
"138","156",59
"140","176",60
"141","170",61
"143","120",61
"144","160",61
"142","182",61
"145","114",62
"146","150",62
"156","198",63
"133","8",63
"154","194",64
"155","196",65
"151","154",66
"157","2",67
"169","4",68
"180","6",68
"195","88",69
"193","84",70
"159","200",71
"170","40",72
"174","48",72
"188","74",72
"161","24",73
"198","94",73
"152","16",74
"200","98",74
"148","100",75
"178","56",75
"183","64",75
"196","90",75
"164","30",76
"177","54",76
"184","66",77
"147","10",78
"149","12",78
"167","36",78
"176","52",79
"194","86",80
"192","82",81
"158","20",82
"171","42",83
"165","32",84
"189","76",84
"197","92",84
"162","26",85
"163","28",85
"172","44",85
"150","14",86
"153","18",86
"182","62",86
"191","80",87
"160","22",88
"168","38",89
"173","46",89
"181","60",90
"190","78",90
"199","96",91
"166","34",92
"179","58",93
"187","72",94
"185","68",95
"175","50",96
"186","70",97
