"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","111",1
"2","113",2
"3","161",2
"4","105",3
"5","101",4
"6","103",5
"7","107",5
"8","109",5
"9","117",5
"10","119",5
"14","147",5
"11","127",6
"12","137",6
"13","139",6
"15","177",6
"16","185",6
"17","123",7
"18","175",7
"19","151",8
"20","183",8
"21","187",8
"22","189",8
"23","169",9
"30","115",9
"24","121",9
"25","129",9
"26","131",9
"27","141",9
"28","145",9
"29","181",9
"31","153",10
"32","157",10
"33","163",10
"34","167",11
"36","179",12
"35","135",13
"40","133",13
"41","165",14
"42","191",14
"43","125",15
"37","155",15
"44","197",15
"38","149",15
"39","159",15
"46","200",15
"45","143",15
"47","195",16
"48","198",16
"49","174",17
"50","173",18
"51","199",19
"52","138",20
"53","102",21
"66","152",22
"63","136",23
"64","142",23
"54","104",24
"61","126",24
"102","5",24
"107","61",25
"120","89",26
"121","9",27
"109","67",28
"55","106",28
"76","1",28
"126","99",28
"111","7",29
"112","71",29
"100","47",30
"117","83",31
"84","17",32
"115","77",32
"116","81",32
"94","35",33
"118","85",33
"78","13",34
"91","3",34
"113","73",34
"123","93",34
"90","27",35
"77","11",36
"80","146",36
"81","15",36
"86","19",36
"88","21",36
"92","31",36
"93","33",36
"98","43",36
"105","57",36
"108","63",36
"110","69",36
"114","75",36
"122","91",36
"124","95",36
"56","108",36
"58","112",36
"71","172",36
"74","188",36
"57","110",37
"62","130",37
"73","186",37
"89","25",37
"95","37",37
"96","39",37
"97","41",37
"99","45",37
"101","49",37
"103","51",37
"104","53",37
"106","59",37
"119","87",37
"125","97",37
"129","193",37
"87","190",37
"59","114",37
"60","122",37
"65","148",37
"67","158",37
"68","162",37
"69","164",37
"70","168",37
"72","178",37
"75","192",37
"130","29",37
"131","65",38
"132","79",38
"127","132",39
"79","134",39
"82","160",39
"83","166",39
"85","176",39
"133","23",39
"135","140",40
"128","170",40
"138","124",40
"137","118",41
"134","128",41
"139","144",41
"136","180",41
"140","120",42
"141","182",43
"142","55",43
"143","116",44
"144","156",45
"147","150",46
"145","184",46
"146","196",46
"149","171",46
"148","194",46
"154","154",47
"190","8",48
"179","6",49
"160","24",50
"181","62",51
"174","50",52
"199","96",53
"168","4",54
"200","98",55
"155","16",56
"163","30",56
"189","78",57
"157","2",58
"183","66",58
"196","90",58
"164","32",59
"150","10",60
"151","100",60
"166","36",60
"176","54",60
"178","58",60
"184","68",60
"162","28",61
"171","44",61
"193","84",61
"177","56",62
"194","86",62
"197","92",62
"198","94",62
"158","20",63
"192","82",63
"152","12",64
"153","14",64
"161","26",64
"167","38",64
"169","40",64
"173","48",64
"175","52",64
"180","60",64
"195","88",64
"156","18",65
"159","22",65
"165","34",65
"182","64",65
"185","70",65
"187","74",65
"191","80",65
"170","42",66
"172","46",66
"186","72",66
"188","76",66
