"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","109",1
"2","177",2
"3","101",3
"4","111",4
"5","145",5
"6","175",5
"7","151",6
"8","123",7
"9","169",8
"10","105",9
"11","141",9
"15","135",10
"13","113",10
"12","157",10
"14","161",10
"16","131",11
"18","107",11
"21","103",12
"22","121",12
"17","171",12
"19","143",13
"20","189",14
"23","149",15
"26","163",15
"27","187",15
"25","139",16
"28","153",16
"29","191",17
"33","129",18
"24","185",18
"30","193",19
"35","104",19
"31","119",19
"32","181",19
"34","159",20
"36","179",21
"38","137",22
"51","1",22
"37","117",22
"39","167",23
"40","115",24
"41","127",24
"53","77",24
"42","147",24
"43","155",24
"54","73",24
"44","183",24
"45","195",24
"62","3",24
"67","51",24
"69","7",24
"74","93",24
"46","165",24
"66","5",24
"61","21",25
"63","33",26
"47","125",26
"48","173",26
"49","197",26
"50","133",27
"60","15",27
"68","61",27
"71","89",27
"70","81",28
"72","9",28
"73","91",28
"59","11",29
"75","95",30
"64","39",31
"76","99",32
"82","53",33
"84","71",34
"81","41",35
"86","83",35
"87","85",35
"83","59",36
"52","190",36
"78","17",36
"79","25",36
"80","37",36
"85","75",36
"88","13",37
"106","97",37
"94","35",38
"99","57",38
"91","27",39
"65","47",39
"102","67",39
"55","110",39
"56","158",39
"57","108",40
"90","23",40
"92","29",40
"93","31",40
"95","43",41
"58","112",41
"96","45",41
"105","87",42
"97","49",43
"89","19",44
"98","55",44
"103","69",44
"101","65",45
"100","63",46
"77","102",46
"109","114",46
"107","174",46
"104","79",46
"110","136",47
"108","138",47
"112","92",47
"114","148",48
"116","162",49
"117","188",49
"120","199",49
"118","130",49
"111","178",49
"119","180",49
"113","168",49
"121","140",49
"115","152",49
"122","164",49
"124","66",49
"123","106",50
"125","124",51
"129","118",52
"130","128",52
"132","142",53
"133","172",53
"134","134",54
"135","192",55
"136","116",56
"137","176",56
"126","126",56
"127","144",56
"128","146",56
"131","122",57
"141","184",57
"138","198",57
"139","156",58
"158","186",58
"140","166",58
"142","16",59
"149","120",59
"152","150",59
"154","160",59
"155","170",59
"157","182",59
"160","196",59
"150","132",60
"143","36",60
"159","194",60
"163","200",61
"144","6",61
"153","154",61
"145","8",61
"147","100",62
"186","68",63
"172","4",64
"161","2",65
"180","54",65
"169","32",66
"167","28",67
"175","44",67
"195","86",67
"194","84",68
"196","88",68
"188","72",69
"171","38",70
"148","12",71
"177","48",72
"183","60",72
"189","74",72
"173","40",73
"184","62",73
"156","18",74
"170","34",75
"179","52",75
"199","96",75
"174","42",76
"165","24",77
"176","46",77
"192","80",77
"164","22",78
"185","64",78
"200","98",78
"168","30",79
"191","78",80
"181","56",81
"146","10",82
"151","14",82
"166","26",82
"178","50",82
"182","58",82
"187","70",82
"197","90",82
"162","20",83
"190","76",83
"193","82",83
"198","94",83
