"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","110",1
"2","128",2
"3","104",3
"4","108",3
"5","112",3
"6","116",3
"7","126",3
"8","192",3
"9","118",4
"10","134",4
"11","144",4
"12","190",5
"13","176",6
"14","130",7
"15","152",8
"16","162",8
"22","186",8
"17","102",8
"18","138",8
"19","174",8
"20","114",9
"21","140",9
"23","188",9
"24","106",10
"26","148",11
"31","156",12
"33","172",13
"34","124",14
"36","180",15
"37","196",16
"25","122",16
"38","150",16
"39","182",17
"40","132",18
"27","164",18
"28","178",18
"41","142",18
"29","168",18
"30","146",19
"42","184",19
"43","195",19
"32","136",19
"44","191",19
"35","158",19
"45","198",20
"46","166",21
"47","160",22
"48","170",22
"49","109",23
"50","105",24
"53","84",24
"51","107",24
"56","120",24
"52","121",24
"54","189",25
"55","101",26
"58","175",27
"57","123",28
"78","4",28
"73","2",29
"92","80",30
"90","76",31
"84","6",32
"75","30",33
"93","88",34
"87","68",35
"86","66",36
"91","8",36
"70","12",37
"74","28",37
"76","36",37
"82","54",37
"69","100",38
"61","113",38
"67","129",38
"63","141",38
"65","169",38
"80","48",38
"81","52",38
"89","74",38
"59","103",38
"64","157",38
"79","40",38
"88","72",38
"94","92",38
"101","90",38
"60","111",38
"77","38",38
"83","56",38
"85","60",39
"99","42",39
"100","64",39
"62","135",39
"66","185",39
"108","98",39
"97","14",39
"72","183",39
"115","194",39
"102","131",39
"68","177",39
"107","62",39
"71","127",39
"111","16",39
"118","96",39
"105","26",39
"116","32",39
"95","119",39
"117","78",39
"113","171",40
"104","18",40
"106","34",40
"124","86",40
"125","94",41
"96","137",41
"98","161",41
"103","149",42
"119","10",42
"120","22",42
"126","24",42
"121","44",42
"122","46",42
"123","70",42
"128","82",43
"109","117",43
"110","153",43
"112","163",43
"114","181",43
"130","20",43
"129","147",44
"127","143",44
"131","139",45
"132","173",45
"135","50",45
"136","58",45
"133","145",46
"134","187",46
"137","151",47
"138","165",48
"139","167",48
"141","125",49
"140","159",49
"145","200",49
"142","133",49
"143","155",49
"144","179",49
"146","197",50
"147","115",51
"150","71",52
"151","154",52
"149","51",52
"158","199",52
"148","1",52
"157","193",52
"164","3",53
"191","83",54
"197","93",55
"186","73",56
"185","7",57
"199","97",58
"188","77",59
"183","67",60
"176","53",61
"196","91",62
"198","95",63
"159","21",64
"166","33",64
"154","15",65
"172","45",65
"179","59",65
"192","85",65
"153","13",66
"189","79",66
"167","35",67
"194","89",67
"174","49",68
"152","11",69
"162","27",70
"163","29",70
"165","31",70
"178","57",70
"160","23",71
"161","25",71
"168","37",71
"169","39",71
"170","41",71
"175","5",71
"187","75",71
"190","81",71
"200","99",71
"193","87",72
"156","19",73
"171","43",73
"173","47",73
"177","55",73
"155","17",74
"180","61",74
"181","63",74
"182","65",74
"184","69",74
"195","9",74
