"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","167",1
"2","113",2
"3","157",3
"4","111",4
"5","177",4
"6","119",5
"7","149",6
"10","101",6
"8","187",6
"9","107",7
"11","117",7
"12","139",8
"13","161",8
"14","105",9
"15","127",10
"16","109",11
"20","147",11
"17","153",11
"18","163",11
"19","155",12
"21","103",13
"22","175",14
"25","106",14
"23","171",14
"24","169",15
"27","75",15
"29","112",16
"26","185",16
"28","129",17
"30","152",17
"32","160",18
"31","123",19
"39","1",19
"38","3",19
"41","65",20
"33","162",20
"34","164",20
"35","180",20
"37","188",21
"47","81",21
"36","130",21
"42","137",21
"49","5",21
"46","141",21
"44","183",21
"53","73",21
"48","89",21
"54","93",21
"52","133",22
"40","174",22
"55","181",22
"50","115",22
"57","131",23
"59","151",23
"43","102",23
"60","189",23
"62","9",24
"63","121",25
"45","138",25
"69","165",25
"61","67",25
"65","63",26
"68","159",26
"71","173",26
"72","197",26
"67","71",26
"70","7",27
"73","13",28
"74","23",28
"75","83",29
"76","85",29
"78","95",30
"79","11",31
"51","132",31
"81","17",31
"83","35",32
"87","135",32
"56","186",32
"58","146",33
"77","47",33
"64","134",33
"84","43",33
"66","108",33
"92","33",33
"95","100",33
"86","27",33
"80","110",33
"96","88",33
"89","45",33
"90","19",34
"98","21",34
"88","29",34
"82","104",34
"91","31",34
"93","53",34
"94","99",34
"103","125",34
"85","136",34
"99","55",34
"104","143",34
"100","15",34
"97","122",34
"102","190",35
"105","176",36
"115","191",36
"110","25",36
"111","37",36
"101","170",36
"113","59",36
"112","39",37
"118","8",37
"106","166",37
"107","192",37
"116","49",37
"124","145",37
"117","51",37
"108","142",37
"122","94",37
"114","126",37
"119","87",37
"109","150",37
"121","41",38
"120","144",39
"123","124",40
"127","77",40
"126","57",41
"133","78",41
"125","178",41
"138","179",41
"130","148",41
"134","80",41
"129","97",41
"128","198",42
"136","91",42
"137","96",42
"131","158",42
"132","168",42
"143","90",42
"135","140",42
"141","6",42
"140","4",43
"142","84",44
"146","24",45
"144","118",46
"150","195",46
"151","199",47
"149","128",48
"145","16",48
"148","98",48
"139","36",48
"155","172",48
"147","30",48
"152","2",49
"154","120",49
"158","193",49
"167","196",50
"160","114",51
"161","116",52
"156","61",52
"179","66",52
"165","182",53
"153","32",53
"157","28",54
"176","56",54
"166","184",55
"172","48",55
"164","156",56
"171","44",57
"180","69",57
"182","79",57
"170","40",58
"178","62",58
"175","54",59
"159","10",60
"181","74",61
"168","20",62
"183","82",62
"169","38",63
"184","86",64
"162","12",65
"185","92",66
"177","60",67
"187","154",67
"173","50",67
"174","52",67
"163","14",68
"189","194",68
"190","200",68
"186","34",68
"192","26",69
"188","18",70
"193","42",70
"195","58",70
"199","72",71
"191","22",72
"194","46",73
"197","68",73
"196","64",74
"200","76",75
"198","70",76
