cloudDeployments;Replica-f100-n200;0
availabilityCloudReads;Replica-f100-n200;100
availabilitySensorWrites;Replica-f100-n200;3
cloudDeployments;FstrRep-f100-n200;0
availabilityCloudReads;FstrRep-f100-n200;99
availabilitySensorWrites;FstrRep-f100-n200;0
cloudDeployments;Single-f100-n200;0
availabilityCloudReads;Single-f100-n200;89
availabilitySensorWrites;Single-f100-n200;0
cloudDeployments;Cloud-f100-n200;100
availabilityCloudReads;Cloud-f100-n200;100
availabilitySensorWrites;Cloud-f100-n200;0
cloudDeployments;Replica-f110-n200;0
availabilityCloudReads;Replica-f110-n200;109
availabilitySensorWrites;Replica-f110-n200;4
cloudDeployments;FstrRep-f110-n200;0
availabilityCloudReads;FstrRep-f110-n200;108
availabilitySensorWrites;FstrRep-f110-n200;0
cloudDeployments;Single-f110-n200;0
availabilityCloudReads;Single-f110-n200;97
availabilitySensorWrites;Single-f110-n200;0
cloudDeployments;Cloud-f110-n200;110
availabilityCloudReads;Cloud-f110-n200;110
availabilitySensorWrites;Cloud-f110-n200;0
cloudDeployments;Replica-f120-n200;0
availabilityCloudReads;Replica-f120-n200;115
availabilitySensorWrites;Replica-f120-n200;3
cloudDeployments;FstrRep-f120-n200;0
availabilityCloudReads;FstrRep-f120-n200;118
availabilitySensorWrites;FstrRep-f120-n200;3
cloudDeployments;Single-f120-n200;0
availabilityCloudReads;Single-f120-n200;105
availabilitySensorWrites;Single-f120-n200;1
cloudDeployments;Cloud-f120-n200;120
availabilityCloudReads;Cloud-f120-n200;120
availabilitySensorWrites;Cloud-f120-n200;2
cloudDeployments;Replica-f130-n200;0
availabilityCloudReads;Replica-f130-n200;127
availabilitySensorWrites;Replica-f130-n200;4
cloudDeployments;FstrRep-f130-n200;0
availabilityCloudReads;FstrRep-f130-n200;128
availabilitySensorWrites;FstrRep-f130-n200;3
cloudDeployments;Single-f130-n200;0
availabilityCloudReads;Single-f130-n200;111
availabilitySensorWrites;Single-f130-n200;0
cloudDeployments;Cloud-f130-n200;130
availabilityCloudReads;Cloud-f130-n200;130
availabilitySensorWrites;Cloud-f130-n200;2
cloudDeployments;Replica-f140-n200;0
availabilityCloudReads;Replica-f140-n200;137
availabilitySensorWrites;Replica-f140-n200;4
cloudDeployments;FstrRep-f140-n200;0
availabilityCloudReads;FstrRep-f140-n200;139
availabilitySensorWrites;FstrRep-f140-n200;2
cloudDeployments;Single-f140-n200;0
availabilityCloudReads;Single-f140-n200;118
availabilitySensorWrites;Single-f140-n200;1
cloudDeployments;Cloud-f140-n200;140
availabilityCloudReads;Cloud-f140-n200;140
availabilitySensorWrites;Cloud-f140-n200;2
cloudDeployments;Replica-f150-n200;0
