"","Final.Ranking.Matrix.alternative","Final.Ranking.Matrix.ranking"
"1","188",1
"2","192",2
"3","152",3
"4","113",4
"5","106",5
"6","124",6
"7","112",7
"8","132",7
"9","174",7
"10","186",8
"11","122",9
"15","170",10
"12","138",10
"13","102",11
"14","104",12
"16","110",13
"17","134",13
"18","148",13
"24","101",13
"25","103",14
"26","111",14
"27","119",14
"22","190",14
"28","109",14
"29","160",15
"30","176",15
"32","166",16
"19","162",16
"20","180",16
"33","107",16
"36","142",16
"23","108",16
"34","117",16
"37","147",17
"21","130",17
"31","136",18
"35","126",19
"38","172",20
"39","114",21
"40","164",22
"41","156",23
"42","198",24
"46","118",25
"47","128",26
"51","196",27
"58","105",27
"59","139",27
"60","161",27
"56","116",27
"63","187",27
"48","95",27
"62","175",27
"43","146",27
"49","96",27
"66","182",27
"64","165",28
"65","167",28
"44","178",28
"53","4",28
"67","123",28
"61","127",28
"45","168",28
"54","90",28
"68","125",28
"69","169",28
"70","141",29
"71","157",30
"72","129",31
"73","177",32
"50","140",32
"52","158",33
"74","163",33
"75","153",34
"76","143",35
"55","150",35
"80","135",35
"57","144",35
"77","149",36
"82","98",36
"81","184",36
"83","120",37
"87","30",37
"84","200",37
"78","131",37
"91","8",37
"90","154",38
"79","183",38
"92","197",38
"86","189",38
"98","6",38
"85","121",38
"102","2",38
"88","81",38
"103","100",38
"106","88",39
"89","137",39
"93","36",40
"96","80",41
"108","72",41
"109","76",41
"112","16",42
"100","115",42
"101","145",42
"99","86",42
"104","191",43
"97","5",43
"115","133",43
"111","94",43
"107","24",43
"105","63",43
"113","179",43
"110","84",43
"114","28",44
"123","62",44
"118","32",44
"121","44",45
"117","12",45
"94","151",45
"95","181",45
"119","18",45
"127","50",45
"122","56",45
"126","193",45
"125","54",45
"180","68",45
"141","185",46
"128","52",46
"129","66",46
"130","92",46
"131","1",47
"132","10",47
"140","173",47
"144","199",47
"147","22",47
"158","38",47
"160","40",47
"167","48",47
"186","74",47
"120","34",47
"145","20",47
"165","46",47
"175","60",47
"177","64",47
"191","82",47
"135","14",48
"139","171",48
"124","194",48
"162","42",48
"182","7",48
"150","26",49
"116","159",49
"173","58",49
"199","97",49
"183","70",50
"153","3",51
"169","51",51
"143","195",52
"188","77",52
"176","61",53
"195","89",54
"187","75",55
"196","9",55
"137","155",56
"164","45",57
"166","47",57
"200","99",58
"168","49",59
"184","71",59
"138","17",60
"192","83",60
"146","21",61
"155","33",61
"185","73",61
"189","78",61
"190","79",61
"198","93",61
"136","15",62
"179","67",62
"181","69",63
"159","39",64
"172","57",65
"134","13",66
"156","35",66
"161","41",66
"193","85",67
"148","23",68
"170","53",69
"197","91",69
"133","11",70
"151","27",71
"178","65",71
"163","43",72
"154","31",73
"152","29",74
"174","59",74
"142","19",75
"171","55",76
"194","87",77
"149","25",78
"157","37",78
